"Step","mosaic_icl_rule_induction_resonant:train - metrics/mem/teacher_read_frac","mosaic_icl_rule_induction_resonant:train - metrics/mem/teacher_read_frac__MIN","mosaic_icl_rule_induction_resonant:train - metrics/mem/teacher_read_frac__MAX"
"2","0.001953125","0.001953125","0.001953125"
"4","0.001953125","0.001953125","0.001953125"
"6","0.001953125","0.001953125","0.001953125"
"8","0.001953125","0.001953125","0.001953125"
"10","0.001953125","0.001953125","0.001953125"
"12","0.001953125","0.001953125","0.001953125"
"14","0.001953125","0.001953125","0.001953125"
"16","0.001953125","0.001953125","0.001953125"
"18","0.001953125","0.001953125","0.001953125"
"20","0.001953125","0.001953125","0.001953125"
"22","0.001953125","0.001953125","0.001953125"
"24","0.001953125","0.001953125","0.001953125"
"26","0.001953125","0.001953125","0.001953125"
"28","0.001953125","0.001953125","0.001953125"
"30","0.001953125","0.001953125","0.001953125"
"32","0.001953125","0.001953125","0.001953125"
"34","0.001953125","0.001953125","0.001953125"
"36","0.001953125","0.001953125","0.001953125"
"38","0.001953125","0.001953125","0.001953125"
"40","0.001953125","0.001953125","0.001953125"
"42","0.001953125","0.001953125","0.001953125"
"44","0.001953125","0.001953125","0.001953125"
"46","0.001953125","0.001953125","0.001953125"
"48","0.001953125","0.001953125","0.001953125"
"50","0.001953125","0.001953125","0.001953125"
