"Step","mosaic_icl_rule_induction_resonant:train - metrics/mem/teacher_write_gate_fire_frac","mosaic_icl_rule_induction_resonant:train - metrics/mem/teacher_write_gate_fire_frac__MIN","mosaic_icl_rule_induction_resonant:train - metrics/mem/teacher_write_gate_fire_frac__MAX"
"2","0.0078125","0.0078125","0.0078125"
"4","0.0078125","0.0078125","0.0078125"
"6","0.0078125","0.0078125","0.0078125"
"8","0.0078125","0.0078125","0.0078125"
"10","0.0078125","0.0078125","0.0078125"
"12","0.0078125","0.0078125","0.0078125"
"14","0.0078125","0.0078125","0.0078125"
"16","0.0078125","0.0078125","0.0078125"
"18","0.0078125","0.0078125","0.0078125"
"20","0.0078125","0.0078125","0.0078125"
"22","0.0078125","0.0078125","0.0078125"
"24","0.0078125","0.0078125","0.0078125"
"26","0.0078125","0.0078125","0.0078125"
"28","0.0078125","0.0078125","0.0078125"
"30","0.0078125","0.0078125","0.0078125"
"32","0.0078125","0.0078125","0.0078125"
"34","0.0078125","0.0078125","0.0078125"
"36","0.0078125","0.0078125","0.0078125"
"38","0.0078125","0.0078125","0.0078125"
"40","0.0078125","0.0078125","0.0078125"
"42","0.0078125","0.0078125","0.0078125"
"44","0.0078125","0.0078125","0.0078125"
"46","0.0078125","0.0078125","0.0078125"
"48","0.0078125","0.0078125","0.0078125"
"50","0.0078125","0.0078125","0.0078125"
"52","0.0078125","0.0078125","0.0078125"
"54","0.0078125","0.0078125","0.0078125"
"56","0.0078125","0.0078125","0.0078125"
