"Step","a100_fw1b_l22_decoupled_s1337_paper_strict:train - loss","a100_fw1b_l22_decoupled_s1337_paper_strict:train - loss__MIN","a100_fw1b_l22_decoupled_s1337_paper_strict:train - loss__MAX","a100_fw1b_l22_baseline_s1337_paper_strict:train - loss","a100_fw1b_l22_baseline_s1337_paper_strict:train - loss__MIN","a100_fw1b_l22_baseline_s1337_paper_strict:train - loss__MAX"
"11","10.991071428571429","10.96875","11","11","11","11"
"21","10.734375","10.65625","10.9375","10.65625","10.65625","10.65625"
"31","9.832589285714286","9.578125","10.40625","9.546875","9.546875","9.546875"
"41","9.25","9.03125","9.84375","9.046875","9.046875","9.046875"
"51","8.872767857142858","8.6875","9.203125","8.78125","8.78125","8.78125"
"61","8.631696428571429","8.484375","8.9375","8.53125","8.53125","8.53125"
"71","8.448660714285714","8.296875","8.765625","8.28125","8.28125","8.28125"
"81","8.244419642857142","8.0703125","8.53125","8.203125","8.203125","8.203125"
"91","8.065848214285714","7.9140625","8.5","8.0703125","8.0703125","8.0703125"
"101","7.870535714285714","7.7421875","8.21875","7.828125","7.828125","7.828125"
"111","7.719866071428571","7.5234375","8.1015625","7.515625","7.515625","7.515625"
"121","7.579241071428571","7.3828125","7.9453125","7.5234375","7.5234375","7.5234375"
"131","7.4140625","7.25","7.921875","7.3828125","7.3828125","7.3828125"
"141","7.354910714285714","7.140625","7.71875","7.1796875","7.1796875","7.1796875"
"151","7.2421875","7.09375","7.7578125","7.390625","7.390625","7.390625"
"161","7.197544642857143","7.0703125","7.4765625","7.2265625","7.2265625","7.2265625"
"171","7.159598214285714","7.03125","7.53125","7.109375","7.109375","7.109375"
"181","7.136160714285714","6.9765625","7.3515625","6.921875","6.921875","6.921875"
"191","7.064732142857143","6.8515625","7.4140625","6.9609375","6.9609375","6.9609375"
"201","7.030133928571429","6.8359375","7.4140625","6.828125","6.828125","6.828125"
"211","7.002232142857143","6.7890625","7.5078125","6.875","6.875","6.875"
"221","7.034598214285714","6.859375","7.390625","6.8125","6.8125","6.8125"
"231","6.975446428571429","6.7421875","7.375","6.9296875","6.9296875","6.9296875"
"241","6.918526785714286","6.75","7.5078125","6.7421875","6.7421875","6.7421875"
"251","6.905133928571429","6.6328125","7.6015625","6.6171875","6.6171875","6.6171875"
"261","6.854910714285714","6.59375","7.671875","6.546875","6.546875","6.546875"
"271","7.033482142857143","6.484375","9.328125","6.59375","6.59375","6.59375"
"281","7.069196428571429","6.453125","9.71875","6.484375","6.484375","6.484375"
"291","6.720982142857143","6.359375","7.8984375","6.5703125","6.5703125","6.5703125"
