"Step","a100_fw1b_l22_decoupled_s1337_paper_sem8geo32v40:train - tok_s","a100_fw1b_l22_decoupled_s1337_paper_sem8geo32v40:train - tok_s__MIN","a100_fw1b_l22_decoupled_s1337_paper_sem8geo32v40:train - tok_s__MAX","a100_fw1b_l22_decoupled_s1337_paper_strict:train - tok_s","a100_fw1b_l22_decoupled_s1337_paper_strict:train - tok_s__MIN","a100_fw1b_l22_decoupled_s1337_paper_strict:train - tok_s__MAX","a100_fw1b_l22_baseline_s1337_paper_strict:train - tok_s","a100_fw1b_l22_baseline_s1337_paper_strict:train - tok_s__MIN","a100_fw1b_l22_baseline_s1337_paper_strict:train - tok_s__MAX"
"11","19078.514754392076","19078.514754392076","19078.514754392076","13821.953447097136","13821.953447097136","13821.953447097136","18152.69347741472","18152.69347741472","18152.69347741472"
"21","18903.514895428594","18903.514895428594","18903.514895428594","14011.062066040475","14011.062066040475","14011.062066040475","17233.010875439097","17233.010875439097","17233.010875439097"
"31","18750.48599123074","18750.48599123074","18750.48599123074","13940.442031476723","13940.442031476723","13940.442031476723","17949.183273778664","17949.183273778664","17949.183273778664"
"41","18786.176951284626","18786.176951284626","18786.176951284626","13710.710051705773","13710.710051705773","13710.710051705773","17893.549163642976","17893.549163642976","17893.549163642976"
"51","18897.58267800063","18897.58267800063","18897.58267800063","13832.540600075276","13832.540600075276","13832.540600075276","17964.840320406933","17964.840320406933","17964.840320406933"
"61","18889.865313051043","18889.865313051043","18889.865313051043","14063.556447385658","14063.556447385658","14063.556447385658","17950.05569449526","17950.05569449526","17950.05569449526"
"71","18707.2520039432","18707.2520039432","18707.2520039432","13724.830571064595","13724.830571064595","13724.830571064595","18026.111982031984","18026.111982031984","18026.111982031984"
"81","18867.424431864067","18867.424431864067","18867.424431864067","13918.90284526899","13918.90284526899","13918.90284526899","17975.33626884745","17975.33626884745","17975.33626884745"
"91","18880.988498435636","18880.988498435636","18880.988498435636","13590.409950161315","13590.409950161315","13590.409950161315","18043.16743635743","18043.16743635743","18043.16743635743"
"101","18823.902584843316","18823.902584843316","18823.902584843316","13728.016408021149","13728.016408021149","13728.016408021149","18061.04718090065","18061.04718090065","18061.04718090065"
"111","18756.742319620127","18756.742319620127","18756.742319620127","13918.29323599163","13918.29323599163","13918.29323599163","17950.73103815365","17950.73103815365","17950.73103815365"
"121","18823.39002880449","18823.39002880449","18823.39002880449","13752.675441996167","13752.675441996167","13752.675441996167","18013.294687063386","18013.294687063386","18013.294687063386"
"131","18743.187614726365","18743.187614726365","18743.187614726365","13464.00120907779","13464.00120907779","13464.00120907779","18039.643601216376","18039.643601216376","18039.643601216376"
"141","18599.74722248298","18599.74722248298","18599.74722248298","13742.124180641737","13742.124180641737","13742.124180641737","17897.99115712258","17897.99115712258","17897.99115712258"
"151","18676.693367702843","18676.693367702843","18676.693367702843","13955.74822814484","13955.74822814484","13955.74822814484","18038.79045456777","18038.79045456777","18038.79045456777"
"161","18627.659604128596","18627.659604128596","18627.659604128596","13602.686601486888","13602.686601486888","13602.686601486888","18171.842563324903","18171.842563324903","18171.842563324903"
"171","18612.811326650262","18612.811326650262","18612.811326650262","13104.713206277202","13104.713206277202","13104.713206277202","17974.493711587907","17974.493711587907","17974.493711587907"
"181","18638.48210088426","18638.48210088426","18638.48210088426","13293.983089313439","13293.983089313439","13293.983089313439","18182.26392863685","18182.26392863685","18182.26392863685"
"191","18564.308745114373","18564.308745114373","18564.308745114373","13793.468188224422","13793.468188224422","13793.468188224422","17789.493407380745","17789.493407380745","17789.493407380745"
"201","18592.93909153696","18592.93909153696","18592.93909153696","14124.075878293464","14124.075878293464","14124.075878293464","18035.288371355127","18035.288371355127","18035.288371355127"
"211","18681.935195766506","18681.935195766506","18681.935195766506","13726.3768014376","13726.3768014376","13726.3768014376","18117.138390701686","18117.138390701686","18117.138390701686"
"221","18874.139695261612","18874.139695261612","18874.139695261612","13596.215989608161","13596.215989608161","13596.215989608161","18012.02052160941","18012.02052160941","18012.02052160941"
"231","18599.025269158046","18599.025269158046","18599.025269158046","13017.846036795612","13017.846036795612","13017.846036795612","17855.036898939456","17855.036898939456","17855.036898939456"
"241","18689.87420396023","18689.87420396023","18689.87420396023","13503.51559482816","13503.51559482816","13503.51559482816","17573.94404446263","17573.94404446263","17573.94404446263"
"251","18555.39649069396","18555.39649069396","18555.39649069396","13650.009324704448","13650.009324704448","13650.009324704448","18075.619054446994","18075.619054446994","18075.619054446994"
"261","18607.450365929537","18607.450365929537","18607.450365929537","13684.68136742381","13684.68136742381","13684.68136742381","17681.10438911327","17681.10438911327","17681.10438911327"
"271","18443.127452605982","18443.127452605982","18443.127452605982","13725.767854273934","13725.767854273934","13725.767854273934","17990.281837217037","17990.281837217037","17990.281837217037"
"281","18586.272219304807","18586.272219304807","18586.272219304807","13487.913939824628","13487.913939824628","13487.913939824628","17714.399814463966","17714.399814463966","17714.399814463966"
"291","18559.69723345086","18559.69723345086","18559.69723345086","13065.117849381479","13065.117849381479","13065.117849381479","18045.600413967768","18045.600413967768","18045.600413967768"
"301","18426.997853593784","18426.997853593784","18426.997853593784","13258.543431744163","13258.543431744163","13258.543431744163","18040.727566414593","18040.727566414593","18040.727566414593"
"311","18472.51258442467","18472.51258442467","18472.51258442467","13335.446761294124","13335.446761294124","13335.446761294124","18034.11824357501","18034.11824357501","18034.11824357501"
"321","18558.137627558262","18558.137627558262","18558.137627558262","13655.929079728738","13655.929079728738","13655.929079728738","17784.49235680603","17784.49235680603","17784.49235680603"
"331","18552.885435589502","18552.885435589502","18552.885435589502","13749.021326075894","13749.021326075894","13749.021326075894","17819.53248679537","17819.53248679537","17819.53248679537"
"341","18788.21290270977","18788.21290270977","18788.21290270977","13663.643431963363","13663.643431963363","13663.643431963363","17845.4040113792","17845.4040113792","17845.4040113792"
"351","18660.734920086194","18660.734920086194","18660.734920086194","13545.146147914204","13545.146147914204","13545.146147914204","18041.67266895583","18041.67266895583","18041.67266895583"
"361","18258.1647641252","18258.1647641252","18258.1647641252","12734.258673319207","12734.258673319207","12734.258673319207","17935.493669126212","17935.493669126212","17935.493669126212"
"371","18325.44474032558","18325.44474032558","18325.44474032558","13334.18468818354","13334.18468818354","13334.18468818354","18033.856876005335","18033.856876005335","18033.856876005335"
"381","18273.895469188024","18273.895469188024","18273.895469188024","13210.310412996809","13210.310412996809","13210.310412996809","17940.652797663468","17940.652797663468","17940.652797663468"
"391","18432.796667675633","18432.796667675633","18432.796667675633","13584.634651752662","13584.634651752662","13584.634651752662","17914.62226577889","17914.62226577889","17914.62226577889"
"401","18495.73013092391","18495.73013092391","18495.73013092391","13476.236775687014","13476.236775687014","13476.236775687014","17903.95411445022","17903.95411445022","17903.95411445022"
"411","18493.890752469517","18493.890752469517","18493.890752469517","13633.125245997155","13633.125245997155","13633.125245997155","17922.429096011812","17922.429096011812","17922.429096011812"
"421","18638.3947800299","18638.3947800299","18638.3947800299","13724.342726447625","13724.342726447625","13724.342726447625","17834.351389854768","17834.351389854768","17834.351389854768"
"431","18323.7107591015","18323.7107591015","18323.7107591015","13034.750615816545","13034.750615816545","13034.750615816545","18020.21583419292","18020.21583419292","18020.21583419292"
"441","18522.110923975757","18522.110923975757","18522.110923975757","13099.217559675828","13099.217559675828","13099.217559675828","18014.570287200782","18014.570287200782","18014.570287200782"
"451","18664.556376563134","18664.556376563134","18664.556376563134","13328.369657423049","13328.369657423049","13328.369657423049","17924.05859281","17924.05859281","17924.05859281"
"461","18643.992552011463","18643.992552011463","18643.992552011463","13413.753018846726","13413.753018846726","13413.753018846726","17806.856279773394","17806.856279773394","17806.856279773394"
"471","18232.991608911954","18232.991608911954","18232.991608911954","13653.94882857413","13653.94882857413","13653.94882857413","17981.064100041232","17981.064100041232","17981.064100041232"
"481","18580.28433928015","18580.28433928015","18580.28433928015","13414.964136645473","13414.964136645473","13414.964136645473","17714.379372755404","17714.379372755404","17714.379372755404"
"491","18530.52822460219","18530.52822460219","18530.52822460219","13495.497266682863","13495.497266682863","13495.497266682863","17856.37598403405","17856.37598403405","17856.37598403405"
"501","18622.22815073701","18622.22815073701","18622.22815073701","13394.65779490829","13394.65779490829","13394.65779490829","17682.28240111156","17682.28240111156","17682.28240111156"
"511","18645.867997901427","18645.867997901427","18645.867997901427","12857.55175968696","12857.55175968696","12857.55175968696","18015.80278509978","18015.80278509978","18015.80278509978"
"521","18543.32280423708","18543.32280423708","18543.32280423708","12973.33143440538","12973.33143440538","12973.33143440538","18009.532392612615","18009.532392612615","18009.532392612615"
"531","18263.459308671634","18263.459308671634","18263.459308671634","13195.901674433899","13195.901674433899","13195.901674433899","17829.630038558153","17829.630038558153","17829.630038558153"
"541","18510.305528254932","18510.305528254932","18510.305528254932","13306.787383419456","13306.787383419456","13306.787383419456","17762.527403311786","17762.527403311786","17762.527403311786"
"551","18441.94927767416","18441.94927767416","18441.94927767416","13296.3702315123","13296.3702315123","13296.3702315123","18027.128927578447","18027.128927578447","18027.128927578447"
"561","18417.953324085578","18417.953324085578","18417.953324085578","13375.58730685273","13375.58730685273","13375.58730685273","18002.013548144285","18002.013548144285","18002.013548144285"
"571","18404.56212844627","18404.56212844627","18404.56212844627","13888.591905897605","13888.591905897605","13888.591905897605","18010.005197801245","18010.005197801245","18010.005197801245"
"581","18487.472166561132","18487.472166561132","18487.472166561132","13395.811363549954","13395.811363549954","13395.811363549954","18004.017981517245","18004.017981517245","18004.017981517245"
"591","14674.02818119311","14674.02818119311","14674.02818119311","12691.18316010114","12691.18316010114","12691.18316010114","17913.327801809428","17913.327801809428","17913.327801809428"
"601","18248.98720428201","18248.98720428201","18248.98720428201","12884.594444464203","12884.594444464203","12884.594444464203","17919.548163184045","17919.548163184045","17919.548163184045"
"611","18243.67584553965","18243.67584553965","18243.67584553965","13015.532367580588","13015.532367580588","13015.532367580588","17937.05648419478","17937.05648419478","17937.05648419478"
"621","18540.86652480918","18540.86652480918","18540.86652480918","13246.461991839577","13246.461991839577","13246.461991839577","17909.970349616495","17909.970349616495","17909.970349616495"
"631","18716.79639782678","18716.79639782678","18716.79639782678","13494.373418513287","13494.373418513287","13494.373418513287","17784.897826221797","17784.897826221797","17784.897826221797"
"641","18472.33809163844","18472.33809163844","18472.33809163844","13024.45204877765","13024.45204877765","13024.45204877765","17990.20615068867","17990.20615068867","17990.20615068867"
"651","18659.009026581993","18659.009026581993","18659.009026581993","13377.609867444558","13377.609867444558","13377.609867444558","17419.730192914245","17419.730192914245","17419.730192914245"
"661","17967.8287308663","17967.8287308663","17967.8287308663","13427.270715810688","13427.270715810688","13427.270715810688","17828.874443800385","17828.874443800385","17828.874443800385"
"671","18296.891516454107","18296.891516454107","18296.891516454107","13240.873208542424","13240.873208542424","13240.873208542424","17763.564975791007","17763.564975791007","17763.564975791007"
"681","18563.585975089823","18563.585975089823","18563.585975089823","10897.671316913355","10897.671316913355","10897.671316913355","17890.912033919314","17890.912033919314","17890.912033919314"
"691","18390.241498026302","18390.241498026302","18390.241498026302","12303.590277252992","12303.590277252992","12303.590277252992","17788.489497183004","17788.489497183004","17788.489497183004"
"701","18331.740213461395","18331.740213461395","18331.740213461395","12984.268759664568","12984.268759664568","12984.268759664568","17964.23127415704","17964.23127415704","17964.23127415704"
"711","18433.345459915447","18433.345459915447","18433.345459915447","12991.423856307274","12991.423856307274","12991.423856307274","17836.055614739547","17836.055614739547","17836.055614739547"
"721","18403.829025122934","18403.829025122934","18403.829025122934","13438.510056625411","13438.510056625411","13438.510056625411","17813.062316966443","17813.062316966443","17813.062316966443"
"731","17964.943825685255","17964.943825685255","17964.943825685255","13006.457726995966","13006.457726995966","13006.457726995966","17874.798113967816","17874.798113967816","17874.798113967816"
"741","18433.188393915047","18433.188393915047","18433.188393915047","13147.398100795024","13147.398100795024","13147.398100795024","17962.45837749815","17962.45837749815","17962.45837749815"
"751","18234.042539376507","18234.042539376507","18234.042539376507","13586.67230711701","13586.67230711701","13586.67230711701","17875.317415535577","17875.317415535577","17875.317415535577"
"761","18369.75223268862","18369.75223268862","18369.75223268862","13278.513652305259","13278.513652305259","13278.513652305259","17930.198544981813","17930.198544981813","17930.198544981813"
"771","18413.57770330908","18413.57770330908","18413.57770330908","13035.48300116302","13035.48300116302","13035.48300116302","17750.2133896907","17750.2133896907","17750.2133896907"
"781","18305.15540958997","18305.15540958997","18305.15540958997","12570.772942169011","12570.772942169011","12570.772942169011","17907.28740104873","17907.28740104873","17907.28740104873"
"791","18362.987655822948","18362.987655822948","18362.987655822948","12710.656249354566","12710.656249354566","12710.656249354566","17772.40652855701","17772.40652855701","17772.40652855701"
"801","18291.006152878846","18291.006152878846","18291.006152878846","12361.09397021659","12361.09397021659","12361.09397021659","17813.927868673338","17813.927868673338","17813.927868673338"
"811","18367.63554733272","18367.63554733272","18367.63554733272","12838.752934157868","12838.752934157868","12838.752934157868","17771.52048356903","17771.52048356903","17771.52048356903"
"821","18507.182907013965","18507.182907013965","18507.182907013965","13217.328841113902","13217.328841113902","13217.328841113902","17720.12727713063","17720.12727713063","17720.12727713063"
"831","18374.36075292755","18374.36075292755","18374.36075292755","13503.477161111794","13503.477161111794","13503.477161111794","17867.698341197778","17867.698341197778","17867.698341197778"
"841","18528.052307163303","18528.052307163303","18528.052307163303","13036.900698294281","13036.900698294281","13036.900698294281","17872.32839369358","17872.32839369358","17872.32839369358"
"851","18532.0279455728","18532.0279455728","18532.0279455728","13477.198581183466","13477.198581183466","13477.198581183466","17769.110949850347","17769.110949850347","17769.110949850347"
"861","18647.91164139648","18647.91164139648","18647.91164139648","13524.738539721193","13524.738539721193","13524.738539721193","17843.416821028204","17843.416821028204","17843.416821028204"
"871","18497.340840241442","18497.340840241442","18497.340840241442","13747.819189606389","13747.819189606389","13747.819189606389","17972.901267111283","17972.901267111283","17972.901267111283"
"881","17871.8945988083","17871.8945988083","17871.8945988083","13374.846550055943","13374.846550055943","13374.846550055943","17974.165239240967","17974.165239240967","17974.165239240967"
"891","17877.930836525127","17877.930836525127","17877.930836525127","12452.897102967901","12452.897102967901","12452.897102967901","17926.05969498166","17926.05969498166","17926.05969498166"
"901","17826.65352938613","17826.65352938613","17826.65352938613","12746.437924095977","12746.437924095977","12746.437924095977","17965.470836847882","17965.470836847882","17965.470836847882"
"911","17935.459475304782","17935.459475304782","17935.459475304782","13016.621999020197","13016.621999020197","13016.621999020197","17769.430642086172","17769.430642086172","17769.430642086172"
"921","18231.90614629029","18231.90614629029","18231.90614629029","13051.708741741453","13051.708741741453","13051.708741741453","17610.262626797154","17610.262626797154","17610.262626797154"
"931","18238.98068044791","18238.98068044791","18238.98068044791","13056.79241805367","13056.79241805367","13056.79241805367","17802.16464141256","17802.16464141256","17802.16464141256"
"941","18046.240388615235","18046.240388615235","18046.240388615235","13119.492865979064","13119.492865979064","13119.492865979064","17947.22266954279","17947.22266954279","17947.22266954279"
"951","18381.39836828991","18381.39836828991","18381.39836828991","13364.25083025404","13364.25083025404","13364.25083025404","17717.14439055107","17717.14439055107","17717.14439055107"
"961","18222.267293538072","18222.267293538072","18222.267293538072","13491.290743363792","13491.290743363792","13491.290743363792","17810.598734683732","17810.598734683732","17810.598734683732"
"971","18308.523427972414","18308.523427972414","18308.523427972414","13463.079448933395","13463.079448933395","13463.079448933395","17729.87808608006","17729.87808608006","17729.87808608006"
"981","18323.92578060265","18323.92578060265","18323.92578060265","13290.993488276856","13290.993488276856","13290.993488276856","17652.1838402444","17652.1838402444","17652.1838402444"
"991","18353.036078472054","18353.036078472054","18353.036078472054","13104.91463682523","13104.91463682523","13104.91463682523","17929.97585218591","17929.97585218591","17929.97585218591"
"1001","18442.693850949054","18442.693850949054","18442.693850949054","12280.056627058975","12280.056627058975","12280.056627058975","17927.392062655694","17927.392062655694","17927.392062655694"
"1011","18530.715647169975","18530.715647169975","18530.715647169975","12566.004106022707","12566.004106022707","12566.004106022707","17840.7774752709","17840.7774752709","17840.7774752709"
"1021","18612.360651597042","18612.360651597042","18612.360651597042","12730.15064611807","12730.15064611807","12730.15064611807","17951.577927028728","17951.577927028728","17951.577927028728"
"1031","18352.084876835634","18352.084876835634","18352.084876835634","12819.3639974864","12819.3639974864","12819.3639974864","17847.98790475997","17847.98790475997","17847.98790475997"
"1041","13377.19833239991","13377.19833239991","13377.19833239991","13093.984373554811","13093.984373554811","13093.984373554811","17941.397915808437","17941.397915808437","17941.397915808437"
"1051","17715.91270318936","17715.91270318936","17715.91270318936","12932.399237320556","12932.399237320556","12932.399237320556","17957.630102165607","17957.630102165607","17957.630102165607"
"1061","17822.986663809617","17822.986663809617","17822.986663809617","13287.689979887204","13287.689979887204","13287.689979887204","17673.43673601935","17673.43673601935","17673.43673601935"
"1071","17991.54314005393","17991.54314005393","17991.54314005393","13458.613392497318","13458.613392497318","13458.613392497318","17904.372957839423","17904.372957839423","17904.372957839423"
"1081","17783.402974064782","17783.402974064782","17783.402974064782","13242.366178366854","13242.366178366854","13242.366178366854","17753.751539266374","17753.751539266374","17753.751539266374"
"1091","17972.42791094095","17972.42791094095","17972.42791094095","13320.456314948786","13320.456314948786","13320.456314948786","17934.216335011646","17934.216335011646","17934.216335011646"
"1101","17843.774557920697","17843.774557920697","17843.774557920697","13079.929337734657","13079.929337734657","13079.929337734657","17733.135674415265","17733.135674415265","17733.135674415265"
"1111","18415.78672938944","18415.78672938944","18415.78672938944","13538.914072684236","13538.914072684236","13538.914072684236","17934.03332508586","17934.03332508586","17934.03332508586"
"1121","18465.9327878351","18465.9327878351","18465.9327878351","12380.59751434884","12380.59751434884","12380.59751434884","17832.903275282562","17832.903275282562","17832.903275282562"
"1131","18375.546084824426","18375.546084824426","18375.546084824426","12147.095677342491","12147.095677342491","12147.095677342491","17690.78062140929","17690.78062140929","17690.78062140929"
"1141","18392.951244488402","18392.951244488402","18392.951244488402","12485.650769491775","12485.650769491775","12485.650769491775","17879.03357602889","17879.03357602889","17879.03357602889"
"1151","18454.077728705866","18454.077728705866","18454.077728705866","12756.794445749278","12756.794445749278","12756.794445749278","17930.774435999123","17930.774435999123","17930.774435999123"
"1161","18234.94540447086","18234.94540447086","18234.94540447086","12803.659660345587","12803.659660345587","12803.659660345587","17785.632004481704","17785.632004481704","17785.632004481704"
"1171","18054.839649386275","18054.839649386275","18054.839649386275","13163.228816702818","13163.228816702818","13163.228816702818","17618.636374646165","17618.636374646165","17618.636374646165"
"1181","18237.94430660963","18237.94430660963","18237.94430660963","13222.29273650816","13222.29273650816","13222.29273650816","17835.535047726065","17835.535047726065","17835.535047726065"
"1191","18434.74128621724","18434.74128621724","18434.74128621724","13082.301547303263","13082.301547303263","13082.301547303263","17840.73861184567","17840.73861184567","17840.73861184567"
"1201","18338.115023134","18338.115023134","18338.115023134","13157.752977964712","13157.752977964712","13157.752977964712","17679.139655270672","17679.139655270672","17679.139655270672"
"1211","18224.07304688142","18224.07304688142","18224.07304688142","13145.612576785665","13145.612576785665","13145.612576785665","17817.23991353593","17817.23991353593","17817.23991353593"
"1221","18427.916068107214","18427.916068107214","18427.916068107214","13140.22992014277","13140.22992014277","13140.22992014277","17695.663133372054","17695.663133372054","17695.663133372054"
"1231","17694.338041301788","17694.338041301788","17694.338041301788","13239.919766585514","13239.919766585514","13239.919766585514","17148.347072315948","17148.347072315948","17148.347072315948"
"1241","17599.211015881945","17599.211015881945","17599.211015881945","13558.915616393755","13558.915616393755","13558.915616393755","17812.44342674196","17812.44342674196","17812.44342674196"
"1251","17669.64847577983","17669.64847577983","17669.64847577983","12046.544559613543","12046.544559613543","12046.544559613543","17740.755934022447","17740.755934022447","17740.755934022447"
"1261","17823.34282355108","17823.34282355108","17823.34282355108","12396.035443402428","12396.035443402428","12396.035443402428","17872.974585945358","17872.974585945358","17872.974585945358"
"1271","17966.666973000953","17966.666973000953","17966.666973000953","12482.73744747473","12482.73744747473","12482.73744747473","17615.33661302226","17615.33661302226","17615.33661302226"
"1281","18072.68525006694","18072.68525006694","18072.68525006694","12473.075751418222","12473.075751418222","12473.075751418222","17913.54030419733","17913.54030419733","17913.54030419733"
"1291","17741.80721104578","17741.80721104578","17741.80721104578","12411.102639134086","12411.102639134086","12411.102639134086","17916.579512251537","17916.579512251537","17916.579512251537"
"1301","18142.185258396974","18142.185258396974","18142.185258396974","13009.88876601803","13009.88876601803","13009.88876601803","17897.890643388364","17897.890643388364","17897.890643388364"
