"Step","a100_fw1b_l22_decoupled_s1337_paper_strict:train - loss","a100_fw1b_l22_decoupled_s1337_paper_strict:train - loss__MIN","a100_fw1b_l22_decoupled_s1337_paper_strict:train - loss__MAX","a100_fw1b_l22_baseline_s1337_paper_strict:train - loss","a100_fw1b_l22_baseline_s1337_paper_strict:train - loss__MIN","a100_fw1b_l22_baseline_s1337_paper_strict:train - loss__MAX"
"11","11","11","11","11","11","11"
"21","10.78125","10.78125","10.78125","10.65625","10.65625","10.65625"
"31","10.203125","10.203125","10.203125","9.546875","9.546875","9.546875"
"41","9.53125","9.53125","9.53125","9.046875","9.046875","9.046875"
"51","9.046875","9.046875","9.046875","8.78125","8.78125","8.78125"
"61","8.765625","8.765625","8.765625","8.53125","8.53125","8.53125"
"71","8.5625","8.5625","8.5625","8.28125","8.28125","8.28125"
"81","8.359375","8.359375","8.359375","8.203125","8.203125","8.203125"
"91","8.15625","8.15625","8.15625","8.0703125","8.0703125","8.0703125"
"101","7.953125","7.953125","7.953125","7.828125","7.828125","7.828125"
"111","7.7578125","7.7578125","7.7578125","7.515625","7.515625","7.515625"
"121","7.6796875","7.6796875","7.6796875","7.5234375","7.5234375","7.5234375"
"131","7.4140625","7.4140625","7.4140625","7.3828125","7.3828125","7.3828125"
"141","7.4453125","7.4453125","7.4453125","7.1796875","7.1796875","7.1796875"
"151","7.15625","7.15625","7.15625","7.390625","7.390625","7.390625"
"161","7.125","7.125","7.125","7.2265625","7.2265625","7.2265625"
"171","7.1484375","7.1484375","7.1484375","7.109375","7.109375","7.109375"
"181","7.1015625","7.1015625","7.1015625","6.921875","6.921875","6.921875"
"191","6.9375","6.9375","6.9375","6.9609375","6.9609375","6.9609375"
"201","6.984375","6.984375","6.984375","6.828125","6.828125","6.828125"
"211","6.8359375","6.8359375","6.8359375","6.875","6.875","6.875"
"221","6.9609375","6.9609375","6.9609375","6.8125","6.8125","6.8125"
"231","6.984375","6.984375","6.984375","6.9296875","6.9296875","6.9296875"
"241","6.828125","6.828125","6.828125","6.7421875","6.7421875","6.7421875"
"251","6.8984375","6.8984375","6.8984375","6.6171875","6.6171875","6.6171875"
"261","6.734375","6.734375","6.734375","6.546875","6.546875","6.546875"
"271","6.6796875","6.6796875","6.6796875","6.59375","6.59375","6.59375"
"281","6.6484375","6.6484375","6.6484375","6.484375","6.484375","6.484375"
"291","6.421875","6.421875","6.421875","6.5703125","6.5703125","6.5703125"
